,Team Name,Season,W,L,D,GF,GF_H,GF_A,GA,GA_H,GA_A,GD,Points,Place,Transfer Spend Summer,Transfer Spend Winter,Wage Bill,Points Improvement,Place Improvement,Wage Bill Increase,Lat,Lon
0,Chelsea FC,2014/2015,26,3,9,73,36,37,32,9,23,41,87,1,106700000.0,31000000.0,124794741.0,0.0,0.0,0.0,51.481667,-0.191111
1,Manchester City FC,2014/2015,24,7,7,83,44,39,38,14,24,45,79,2,70500000.0,32300000.0,145845890.0,0.0,0.0,0.0,53.482989,-2.200292
2,Arsenal FC,2014/2015,22,7,9,71,41,30,36,14,22,35,75,3,101730000.0,17250000.0,112908446.0,0.0,0.0,0.0,51.555,-0.108611
3,Manchester United FC,2014/2015,20,8,10,62,41,21,37,15,22,25,70,4,195350000.0,0.0,168294733.0,0.0,0.0,0.0,53.463056,-2.291389
4,Tottenham Hotspur FC,2014/2015,19,12,7,58,31,27,53,24,29,5,64,5,41850000.0,6630000.0,78458830.0,0.0,0.0,0.0,51.603333,-0.065833
5,Liverpool FC,2014/2015,18,12,8,52,30,22,48,20,28,4,62,6,151430000.0,0.0,97826081.0,0.0,0.0,0.0,53.430819,-2.960828
6,Southampton FC,2014/2015,18,14,6,54,37,17,33,13,20,21,60,7,82200000.0,13800000.0,50751976.0,0.0,0.0,0.0,50.905833,-1.391111
7,Swansea City AFC,2014/2015,16,14,8,46,27,19,49,22,27,-3,56,8,28690000.0,12840000.0,35799598.0,0.0,0.0,0.0,51.6422,-3.9351
8,Stoke City FC,2014/2015,15,14,9,48,32,16,45,22,23,3,54,9,1800000.0,0.0,43782627.0,0.0,0.0,0.0,52.988333,-2.175556
9,Crystal Palace FC,2014/2015,13,16,9,47,21,26,51,27,24,-4,48,10,15740000.0,15480000.0,37809069.0,0.0,0.0,0.0,51.398333,-0.085556
10,Everton FC,2014/2015,12,15,11,48,27,21,50,21,29,-2,47,11,40160000.0,0.0,60170855.0,0.0,0.0,0.0,53.438889,-2.966389
11,West Ham United FC,2014/2015,12,15,11,44,25,19,47,18,29,-3,47,12,33250000.0,1900000.0,54211605.0,0.0,0.0,0.0,51.531944,0.039444
12,West Bromwich Albion FC,2014/2015,11,16,11,38,24,14,51,26,25,-13,44,13,18530000.0,6350000.0,42324121.0,0.0,0.0,0.0,52.509167,-1.963889
13,Leicester City FC,2014/2015,11,19,8,46,28,18,55,22,33,-9,41,14,13860000.0,9000000.0,39853126.0,0.0,0.0,0.0,52.620278,-1.142222
14,Newcastle United FC,2014/2015,10,19,9,40,26,14,63,27,36,-23,39,15,45020000.0,0.0,39036221.0,0.0,0.0,0.0,54.975556,-1.621667
15,Aston Villa FC,2014/2015,10,20,8,31,18,13,57,25,32,-26,38,17,9250000.0,4200000.0,39496548.0,0.0,0.0,0.0,52.509167,-1.884722
16,Sunderland AFC,2014/2015,7,14,17,31,16,15,53,27,26,-22,38,16,19020000.0,3500000.0,46064003.0,0.0,0.0,0.0,54.9144,-1.3882
17,Hull City,2014/2015,8,19,11,33,19,14,51,24,27,-18,35,18,0.0,0.0,43880420.0,0.0,0.0,0.0,53.746111,-0.367778
18,Burnley FC,2014/2015,7,19,12,28,14,14,53,21,32,-25,33,19,10060000.0,2560000.0,18581349.0,0.0,0.0,0.0,53.789167,-2.230278
19,Queens Park Rangers FC,2014/2015,8,24,6,42,23,19,73,24,49,-31,30,20,43470000.0,68000.0,53784669.0,0.0,0.0,0.0,51.509167,-0.232222
20,Leicester City FC,2015/2016,23,3,12,68,35,33,36,18,18,32,81,1,38200000.0,11700000.0,43979401.0,40.0,-13.0,4126275.0,52.620278,-1.142222
21,Arsenal FC,2015/2016,20,7,11,65,31,34,36,11,25,29,71,2,14000000.0,12500000.0,117097928.0,-4.0,-1.0,4189482.0,51.555,-0.108611
22,Tottenham Hotspur FC,2015/2016,19,6,13,69,35,34,35,15,20,34,70,3,71000000.0,0.0,64694251.0,6.0,-2.0,-13764579.0,51.603333,-0.065833
23,Manchester United FC,2015/2016,19,10,9,49,27,22,35,9,26,14,66,5,156000000.0,0.0,148561362.0,-4.0,1.0,-19733371.0,53.463056,-2.291389
24,Manchester City FC,2015/2016,19,10,9,71,47,24,41,21,20,30,66,4,208150000.0,320000.0,151403244.0,-13.0,2.0,5557354.0,53.482989,-2.200292
25,Southampton FC,2015/2016,18,11,9,59,39,20,41,22,19,18,63,6,54900000.0,5200000.0,51260009.0,3.0,-1.0,508033.0,50.905833,-1.391111
26,West Ham United FC,2015/2016,16,8,14,65,34,31,51,26,25,14,62,7,46900000.0,5800000.0,63603053.0,15.0,-5.0,9391448.0,51.531944,0.039444
27,Liverpool FC,2015/2016,16,10,12,63,33,30,50,22,28,13,60,8,119500000.0,7000000.0,113242366.0,-2.0,2.0,15416285.0,53.430819,-2.960828
28,Stoke City FC,2015/2016,14,15,9,41,22,19,55,24,31,-14,51,9,29400000.0,24250000.0,50276143.0,-3.0,0.0,6493516.0,52.988333,-2.175556
29,Chelsea FC,2015/2016,12,12,14,59,32,27,53,30,23,6,50,10,91900000.0,4600000.0,119183724.0,-37.0,9.0,-5611017.0,51.481667,-0.191111
30,Everton FC,2015/2016,11,13,14,59,35,24,55,30,25,4,47,11,26300000.0,21900000.0,65976258.0,0.0,0.0,5805403.0,53.438889,-2.966389
31,Swansea City AFC,2015/2016,12,15,11,42,20,22,52,20,32,-10,47,12,13010000.0,8800000.0,48432439.0,-9.0,4.0,12632841.0,51.6422,-3.9351
32,Watford FC,2015/2016,12,17,9,40,20,20,50,19,31,-10,45,13,47900000.0,34900000.0,34607032.0,,,,51.649836,-0.401486
33,West Bromwich Albion FC,2015/2016,10,15,13,34,20,14,48,26,22,-14,43,14,42900000.0,0.0,49516478.0,-1.0,1.0,7192357.0,52.509167,-1.963889
34,Crystal Palace FC,2015/2016,11,18,9,39,19,20,51,23,28,-12,42,15,28800000.0,0.0,64623888.0,-6.0,5.0,26814819.0,51.398333,-0.085556
35,AFC Bournemouth,2015/2016,11,18,9,45,23,22,67,34,33,-22,42,16,31000000.0,24110000.0,31546915.0,,,,50.735278,-1.838333
36,Sunderland AFC,2015/2016,9,17,12,48,23,25,62,20,42,-14,39,17,45350000.0,20700000.0,55274182.0,1.0,1.0,9210179.0,54.9144,-1.3882
37,Newcastle United FC,2015/2016,9,19,10,44,32,12,65,24,41,-21,37,18,69210000.0,38700000.0,58739775.0,-2.0,3.0,19703554.0,54.975556,-1.621667
38,Norwich City FC,2015/2016,9,22,7,39,26,13,67,30,37,-28,34,19,15800000.0,34700000.0,38944392.0,,,,52.622128,1.308653
39,Aston Villa FC,2015/2016,3,27,8,27,14,13,76,35,41,-49,17,20,66550000.0,0.0,44400378.0,-21.0,3.0,4903830.0,52.509167,-1.884722
40,Chelsea FC,2016/2017,30,5,3,85,55,30,33,17,16,52,93,1,132800000.0,0.0,117603578.0,43.0,-9.0,-1580146.0,51.481667,-0.191111
41,Tottenham Hotspur FC,2016/2017,26,4,8,86,47,39,26,9,17,60,86,2,83500000.0,0.0,84927304.0,16.0,-1.0,20233053.0,51.603333,-0.065833
42,Manchester City FC,2016/2017,23,6,9,80,37,43,39,17,22,41,78,3,183250000.0,32352941.17647059,164527417.0,12.0,-1.0,13124173.0,53.482989,-2.200292
43,Liverpool FC,2016/2017,22,6,10,78,45,33,42,18,24,36,76,4,79900000.0,0.0,109341486.0,16.0,-4.0,-3900880.0,53.430819,-2.960828
44,Arsenal FC,2016/2017,23,9,6,77,39,38,44,16,28,33,75,5,113000000.0,0.0,123269447.0,4.0,3.0,6171519.0,51.555,-0.108611
45,Manchester United FC,2016/2017,18,5,15,54,26,28,29,12,17,25,69,6,185000000.0,0.0,187838480.0,3.0,1.0,39277118.0,53.463056,-2.291389
46,Everton FC,2016/2017,17,11,10,62,42,20,44,16,28,18,61,7,54200000.0,31176470.588235293,80900012.0,14.0,-4.0,14923754.0,53.438889,-2.966389
47,AFC Bournemouth,2016/2017,12,16,10,55,35,20,67,29,38,-12,46,9,39750000.0,921568.6274509804,42532819.0,4.0,-7.0,10985904.0,50.735278,-1.838333
48,Southampton FC,2016/2017,12,16,10,41,17,24,48,21,27,-7,46,8,51900000.0,16666666.666666666,69493133.0,-17.0,2.0,18233124.0,50.905833,-1.391111
49,West Ham United FC,2016/2017,12,17,9,47,19,28,64,31,33,-17,45,11,62300000.0,20784313.725490198,67441919.0,-17.0,4.0,3838866.0,51.531944,0.039444
50,West Bromwich Albion FC,2016/2017,12,17,9,43,27,16,51,22,29,-8,45,10,26400000.0,11274509.80392157,48847449.0,2.0,-4.0,-669029.0,52.509167,-1.963889
51,Leicester City FC,2016/2017,12,18,8,48,31,17,63,25,38,-15,44,12,74500000.0,17254901.960784312,75967562.0,-37.0,11.0,31988161.0,52.620278,-1.142222
52,Stoke City FC,2016/2017,11,16,11,41,24,17,56,24,32,-15,44,13,26765000.0,15098039.215686275,61729533.0,-7.0,4.0,11453390.0,52.988333,-2.175556
53,Crystal Palace FC,2016/2017,12,21,5,50,24,26,63,25,38,-13,41,14,59500000.0,40882352.94117647,86125830.0,-1.0,-1.0,21501942.0,51.398333,-0.085556
54,Swansea City AFC,2016/2017,12,21,5,45,27,18,70,34,36,-25,41,15,37900000.0,19803921.56862745,47378211.0,-6.0,3.0,-1054228.0,51.6422,-3.9351
55,Watford FC,2016/2017,11,20,7,40,25,15,68,29,39,-28,40,17,66950000.0,3431372.5490196077,50085330.0,-5.0,4.0,15478298.0,51.649836,-0.401486
56,Burnley FC,2016/2017,11,20,7,39,26,13,55,20,35,-16,40,16,24700000.0,20490196.07843137,29115273.0,,,,53.789167,-2.230278
57,Hull City,2016/2017,9,22,7,37,28,9,80,35,45,-43,34,18,0.0,0.0,50260643.0,,,,53.746111,-0.367778
58,Middlesbrough FC,2016/2017,5,20,13,27,17,10,53,23,30,-26,28,19,28750000.0,18823529.411764707,46352605.0,,,,54.578333,-1.216944
59,Sunderland AFC,2016/2017,6,26,6,29,16,13,69,34,35,-40,24,20,37400000.0,4411764.705882353,56959274.0,-15.0,3.0,1685092.0,54.9144,-1.3882
60,Manchester City FC,2017/2018,32,2,4,106,61,45,27,14,13,79,100,1,243627450.98039216,66346153.84615384,177128595.1,22.0,-2.0,12601178.099999994,53.482989,-2.200292
61,Manchester United FC,2017/2018,25,7,6,68,38,30,28,9,19,40,81,2,161176470.5882353,32692307.692307692,194283990.2,12.0,-4.0,6445510.199999988,53.463056,-2.291389
62,Tottenham Hotspur FC,2017/2018,23,7,8,74,40,34,36,16,20,38,77,3,90784313.7254902,27307692.307692308,93882902.94,-9.0,1.0,8955598.939999998,51.603333,-0.065833
63,Liverpool FC,2017/2018,21,5,12,84,45,39,38,10,28,46,75,4,87254901.96078432,81394230.76923077,111859059.8,-1.0,0.0,2517573.799999997,53.430819,-2.960828
64,Chelsea FC,2017/2018,21,10,7,62,30,32,38,16,22,24,70,5,202647058.82352942,51730769.23076923,142244907.84,-23.0,4.0,24641329.840000004,51.481667,-0.191111
65,Arsenal FC,2017/2018,19,13,6,74,54,20,51,20,31,23,63,6,51960784.31372549,96009615.38461538,185029922.55,-12.0,1.0,61760475.55000001,51.555,-0.108611
66,Burnley FC,2017/2018,14,12,12,36,16,20,39,17,22,-3,54,7,33372549.019607842,1634615.3846153845,38065028.43,14.0,-9.0,8949755.43,53.789167,-2.230278
67,Everton FC,2017/2018,13,15,10,44,28,16,58,22,36,-14,49,8,155098039.21568626,43269230.76923077,99894834.31,-12.0,1.0,18994822.310000002,53.438889,-2.966389
68,Leicester City FC,2017/2018,12,15,11,56,25,31,60,22,38,-4,47,9,80240196.07843137,1923076.923076923,74952690.2,3.0,-3.0,-1014871.799999997,52.620278,-1.142222
69,Crystal Palace FC,2017/2018,11,16,11,45,29,16,55,27,28,-10,44,10,36470588.23529412,18028846.153846152,79552249.02,3.0,-4.0,-6573580.980000004,51.398333,-0.085556
70,AFC Bournemouth,2017/2018,11,16,11,45,26,19,61,30,31,-16,44,12,33627450.98039216,0.0,50346109.8,-2.0,3.0,7813290.799999997,50.735278,-1.838333
71,Newcastle United FC,2017/2018,12,18,8,39,21,18,47,17,30,-8,44,11,41470588.23529412,4038461.5384615385,49361656.86,,,,54.975556,-1.621667
72,West Ham United FC,2017/2018,10,16,12,48,24,24,68,26,42,-20,42,13,44509803.921568625,10961538.461538462,81296667.65,-3.0,2.0,13854748.650000006,51.531944,0.039444
73,Watford FC,2017/2018,11,19,8,44,27,17,64,31,33,-20,41,14,62254901.960784316,9519230.769230768,54338860.78,1.0,-3.0,4253530.780000001,51.649836,-0.401486
74,Brighton & Hove Albion FC,2017/2018,9,16,13,34,24,10,54,25,29,-20,40,15,50980392.15686274,17307692.307692308,46660849.02,,,,50.861822,-0.083278
75,Huddersfield Town AFC,2017/2018,9,19,10,28,16,12,58,25,33,-30,37,16,43529411.76470588,11875000.0,29939218.63,,,,53.654221,-1.769226
76,Southampton FC,2017/2018,7,16,15,37,20,17,56,26,30,-19,36,17,38480392.15686274,21153846.153846152,79589667.65,-10.0,9.0,10096534.650000006,50.905833,-1.391111
77,Stoke City FC,2017/2018,7,19,12,35,20,15,68,30,38,-33,33,19,34215686.2745098,21923076.923076924,57350672.55,-11.0,6.0,-4378860.450000003,52.988333,-2.175556
78,Swansea City AFC,2017/2018,8,21,9,28,17,11,56,24,32,-28,33,18,49593137.25490196,21923076.923076924,55855287.25,-8.0,3.0,8477076.25,51.6422,-3.9351
79,West Bromwich Albion FC,2017/2018,6,19,13,31,21,10,56,29,27,-25,31,20,44803921.56862745,7500000.0,69044819.61,-14.0,10.0,20197370.61,52.509167,-1.963889
80,Manchester City FC,2018/2019,32,4,2,95,57,38,23,12,11,72,98,1,68451923.07692307,7047619.047619048,172705155.77,-2.0,0.0,-4423439.329999983,53.482989,-2.200292
81,Liverpool FC,2018/2019,30,1,7,89,55,34,22,10,12,67,97,2,175192307.69230768,0.0,146157975.96,22.0,-2.0,34298916.16000001,53.430819,-2.960828
82,Chelsea FC,2018/2019,21,8,9,63,39,24,39,12,27,24,72,3,131730769.23076923,68380952.38095237,180612772.12,2.0,-2.0,38367864.28,51.481667,-0.191111
83,Tottenham Hotspur FC,2018/2019,23,13,2,67,34,33,39,16,23,28,71,4,0.0,0.0,104585630.77,-6.0,1.0,10702727.829999998,51.603333,-0.065833
84,Arsenal FC,2018/2019,21,10,7,73,42,31,51,16,35,22,70,5,74663461.53846154,2380952.380952381,155216881.73,7.0,-1.0,-29813040.820000023,51.555,-0.108611
85,Manchester United FC,2018/2019,19,10,9,65,33,32,54,25,29,11,66,6,79519230.76923077,0.0,173523900.0,-15.0,4.0,-20760090.199999988,53.463056,-2.291389
86,Wolverhampton Wanderers FC,2018/2019,16,13,9,47,28,19,46,21,25,1,57,7,92788461.53846154,20000000.0,42642213.46,,,,52.590278,-2.130278
87,Everton FC,2018/2019,15,14,9,54,30,24,46,21,25,8,54,8,95961538.46153846,0.0,98279943.27,5.0,0.0,-1614891.0400000066,53.438889,-2.966389
88,Leicester City FC,2018/2019,15,16,7,51,24,27,48,20,28,3,52,9,110192307.6923077,0.0,91621075.0,5.0,0.0,16668384.799999997,52.620278,-1.142222
89,West Ham United FC,2018/2019,15,16,7,52,32,20,55,27,28,-3,52,10,97019230.76923077,0.0,94940766.35,10.0,-3.0,13644098.699999988,51.531944,0.039444
90,Watford FC,2018/2019,14,16,8,52,26,26,59,28,31,-7,50,11,26778846.153846152,2142857.1428571427,56644528.85,9.0,-3.0,2305668.0700000003,51.649836,-0.401486
91,Crystal Palace FC,2018/2019,14,17,7,51,19,32,53,23,30,-2,49,12,10288461.538461538,1095238.0952380951,85659399.04,5.0,2.0,6107150.020000011,51.398333,-0.085556
92,AFC Bournemouth,2018/2019,13,19,6,56,30,26,70,25,45,-14,45,14,54615384.615384616,33142857.14285714,60419458.65,1.0,2.0,10073348.850000001,50.735278,-1.838333
93,Newcastle United FC,2018/2019,12,17,9,42,24,18,48,25,23,-6,45,13,33269230.769230768,23952380.95238095,57157104.81,1.0,2.0,7795447.950000003,54.975556,-1.621667
94,Burnley FC,2018/2019,11,20,7,45,24,21,68,32,36,-23,40,15,31730769.23076923,0.0,50756241.35,-14.0,8.0,12691212.920000002,53.789167,-2.230278
95,Southampton FC,2018/2019,9,17,12,45,27,18,65,30,35,-20,39,16,59855769.23076923,0.0,83152150.96,3.0,-1.0,3562483.3099999875,50.905833,-1.391111
96,Brighton & Hove Albion FC,2018/2019,9,20,9,35,19,16,60,28,32,-25,36,17,73769230.76923077,13238095.238095237,49102703.85,-4.0,2.0,2441854.829999998,50.861822,-0.083278
97,Cardiff City FC,2018/2019,10,24,4,34,21,13,69,38,31,-35,34,18,29567307.692307692,19476190.476190474,37829528.85,,,,51.472778,-3.203056
98,Fulham FC,2018/2019,7,26,5,34,22,12,81,36,45,-47,26,19,109134615.38461538,2857142.857142857,58388656.73,,,,51.475,-0.221667
99,Huddersfield Town AFC,2018/2019,3,28,7,22,10,12,76,31,45,-54,16,20,47115384.615384616,1619047.619047619,40266257.69,-21.0,4.0,10327039.059999999,53.654221,-1.769226
100,Liverpool FC,2019/2020,32,3,3,85,52,33,33,16,17,52,99,1,1809523.8095238095,8018867.924528302,130466577.14,2.0,-1.0,-15691398.820000008,53.430819,-2.960828
101,Manchester City FC,2019/2020,26,9,3,102,57,45,35,13,22,67,81,2,158876190.47619048,2830188.679245283,169219253.33,-17.0,1.0,-3485902.4399999976,53.482989,-2.200292
102,Chelsea FC,2019/2020,20,12,6,69,30,39,54,16,38,15,66,4,42857142.85714286,0.0,135895588.57,-6.0,1.0,-44717183.55000001,51.481667,-0.191111
