,Team Name,Season,W,L,D,GF,GF_H,GF_A,GA,GA_H,GA_A,GD,Points,Place,Transfer Spend Summer,Transfer Spend Winter,Wage Bill,Points Improvement,Place Improvement,Wage Bill Increase,Lat,Lon
103,Manchester United FC,2019/2020,18,8,12,66,40,26,36,17,19,30,66,3,152190476.19047618,72641509.43396226,187902766.67,0.0,-3.0,14378866.669999987,53.463056,-2.291389
104,Leicester City FC,2019/2020,18,12,8,67,35,32,41,17,24,26,62,5,99333333.33333333,0.0,83513600.0,10.0,-4.0,-8107475.0,52.620278,-1.142222
105,Tottenham Hotspur FC,2019/2020,16,11,11,61,36,25,47,17,30,14,59,6,110476190.47619048,32547169.811320752,122186770.48,-12.0,2.0,17601139.71000001,51.603333,-0.065833
106,Wolverhampton Wanderers FC,2019/2020,15,9,14,51,27,24,40,19,21,11,59,7,92476190.47619048,18490566.03773585,61479546.67,2.0,0.0,18837333.21,52.590278,-2.130278
107,Arsenal FC,2019/2020,14,10,14,56,36,20,48,24,24,8,56,8,145523809.52380952,7547169.811320755,134634874.29,-14.0,3.0,-20582007.439999998,51.555,-0.108611
108,Burnley FC,2019/2020,15,14,9,43,24,19,50,23,27,-7,54,10,13190476.19047619,9433962.264150944,50507956.19,14.0,-5.0,-248285.16000000387,53.789167,-2.230278
109,Sheffield United FC,2019/2020,14,12,12,39,24,15,39,15,24,0,54,9,45238095.23809524,23584905.660377357,27463061.9,,,,53.370278,-1.470833
110,Southampton FC,2019/2020,15,16,7,51,21,30,60,35,25,-9,52,11,58571428.57142857,0.0,60809441.9,13.0,-5.0,-22342709.059999995,50.905833,-1.391111
111,Everton FC,2019/2020,13,15,10,44,24,20,56,21,35,-12,49,12,114190476.19047618,1037735.8490566037,99868774.29,-5.0,4.0,1588831.0200000107,53.438889,-2.966389
112,Newcastle United FC,2019/2020,11,16,11,38,20,18,58,21,37,-20,44,13,64666666.666666664,4245283.018867924,76449078.1,-1.0,0.0,19291973.28999999,54.975556,-1.621667
113,Crystal Palace FC,2019/2020,11,17,10,31,15,16,50,20,30,-19,43,14,7238095.238095238,0.0,84376792.38,-6.0,2.0,-1282606.6600000113,51.398333,-0.085556
114,Brighton & Hove Albion FC,2019/2020,9,15,14,39,20,19,54,27,27,-15,41,15,54514285.71428571,4245283.018867924,55335000.95,5.0,-2.0,6232297.1000000015,50.861822,-0.083278
115,West Ham United FC,2019/2020,10,19,9,49,30,19,62,33,29,-13,39,16,85047619.04761904,28773584.905660376,84622120.95,-13.0,6.0,-10318645.399999991,51.531944,0.039444
116,Aston Villa FC,2019/2020,9,21,8,41,22,19,67,30,37,-26,35,17,141523809.52380952,10283018.867924528,58094937.14,,,,52.509167,-1.884722
117,Watford FC,2019/2020,8,20,10,36,22,14,64,27,37,-28,34,19,34285714.28571428,18867924.528301887,65500196.19,-16.0,8.0,8855667.339999996,51.649836,-0.401486
118,AFC Bournemouth,2019/2020,9,22,7,40,22,18,65,30,35,-25,34,18,52295238.09523809,0.0,48100108.57,-11.0,4.0,-12319350.079999998,50.735278,-1.838333
119,Norwich City FC,2019/2020,5,27,6,26,19,7,75,37,38,-49,21,20,3966666.6666666665,4386792.452830189,29745969.52,,,,52.622128,1.308653
120,Manchester City FC,2020/2021,27,6,5,83,43,40,32,17,15,51,86,1,157924528.3018868,5504587.155963303,154896154.72,5.0,-1.0,-14323098.610000014,53.482989,-2.200292
121,Manchester United FC,2020/2021,21,6,11,73,38,35,44,28,16,29,74,2,59103773.584905654,19541284.403669722,217598055.66,8.0,-1.0,29695288.99000001,53.463056,-2.291389
122,Liverpool FC,2020/2021,20,9,9,68,29,39,42,20,22,26,69,3,75896226.41509433,3990825.6880733944,147292989.62,-30.0,2.0,16826412.480000004,53.430819,-2.960828
123,Chelsea FC,2020/2021,19,9,10,58,31,27,36,18,18,22,67,4,233207547.1698113,0.0,166297507.55,1.0,0.0,30401918.98000002,51.481667,-0.191111
124,Leicester City FC,2020/2021,20,12,6,68,34,34,50,30,20,18,66,5,56037735.8490566,0.0,87221481.13,4.0,0.0,3707881.129999995,52.620278,-1.142222
125,West Ham United FC,2020/2021,19,11,8,62,32,30,47,22,25,15,65,6,26132075.471698113,24770642.20183486,74789559.43,26.0,-10.0,-9832561.519999996,51.531944,0.039444
126,Tottenham Hotspur FC,2020/2021,18,12,8,68,35,33,45,20,25,23,62,7,104245283.01886792,0.0,151293706.6,3.0,1.0,29106936.11999999,51.603333,-0.065833
127,Arsenal FC,2020/2021,18,13,7,55,24,31,39,21,18,16,61,8,79245283.01886792,1834862.3853211007,165890248.11,5.0,0.0,31255373.820000023,51.555,-0.108611
128,Leeds United,2020/2021,18,15,5,62,28,34,54,21,33,8,59,9,0.0,0.0,27211174.53,,,,53.777778,-1.572222
129,Everton FC,2020/2021,17,13,8,47,24,23,48,28,20,-1,59,10,70160377.35849056,0.0,103587744.34,10.0,-2.0,3718970.049999997,53.438889,-2.966389
130,Aston Villa FC,2020/2021,16,15,7,55,29,26,46,27,19,9,55,11,80707547.16981132,14495412.844036696,69880943.4,20.0,-6.0,11786006.260000005,52.509167,-1.884722
131,Wolverhampton Wanderers FC,2020/2021,12,17,9,36,21,15,52,25,27,-16,45,12,79800943.3962264,2752293.5779816513,57956167.92,-14.0,5.0,-3523378.75,52.590278,-2.130278
132,Newcastle United FC,2020/2021,12,17,9,46,26,20,62,33,29,-16,45,13,36556603.7735849,0.0,64742762.26,1.0,0.0,-11706315.839999996,54.975556,-1.621667
133,Crystal Palace FC,2020/2021,12,18,8,41,20,21,66,32,34,-25,44,14,17830188.679245282,3211009.1743119266,99832290.57,1.0,0.0,15455498.189999998,51.398333,-0.085556
134,Southampton FC,2020/2021,12,19,7,47,28,19,68,25,43,-21,43,15,35188679.245283015,0.0,64335489.62,-9.0,4.0,3526047.719999999,50.905833,-1.391111
135,Brighton & Hove Albion FC,2020/2021,9,15,14,40,22,18,46,22,24,-6,41,16,20660377.358490564,25871559.63302752,58029411.32,0.0,1.0,2694410.3699999973,50.861822,-0.083278
136,Burnley FC,2020/2021,10,19,9,33,14,19,55,27,28,-22,39,17,1037735.8490566037,0.0,41347119.81,-15.0,7.0,-9160836.379999995,53.789167,-2.230278
137,Fulham FC,2020/2021,5,20,13,27,9,18,53,28,25,-26,28,18,35141509.43396226,0.0,58693112.26,,,,51.475,-0.221667
138,West Bromwich Albion FC,2020/2021,5,22,11,35,15,20,76,39,37,-41,26,19,38160377.358490564,1550458.7155963301,41726489.62,,,,52.509167,-1.963889
139,Sheffield United FC,2020/2021,7,29,2,20,12,8,63,27,36,-43,23,20,59150943.39622641,0.0,22599327.36,-31.0,11.0,-4863734.539999999,53.370278,-1.470833
140,Manchester City FC,2021/2022,29,3,6,99,58,41,26,15,11,73,93,1,107798165.13761467,17983193.277310926,165812445.87,7.0,0.0,10916291.150000006,53.482989,-2.200292
141,Liverpool FC,2021/2022,28,2,8,94,49,45,26,9,17,68,92,2,36697247.706422016,45378151.2605042,158000599.08,23.0,-1.0,10707609.460000008,53.430819,-2.960828
142,Chelsea FC,2021/2022,21,6,11,76,37,39,33,22,11,43,74,3,108256880.73394495,0.0,192440556.88,7.0,-1.0,26143049.329999983,51.481667,-0.191111
143,Tottenham Hotspur FC,2021/2022,22,11,5,69,38,31,40,19,21,29,71,4,61376146.78899082,24369747.899159666,120558442.2,9.0,-3.0,-30735264.39999999,51.603333,-0.065833
144,Arsenal FC,2021/2022,22,13,3,61,35,26,48,17,31,13,69,5,151926605.50458714,1512605.0420168068,125131765.14,8.0,-3.0,-40758482.97000001,51.555,-0.108611
145,Manchester United FC,2021/2022,16,12,10,57,32,25,57,22,35,0,58,6,130275229.35779816,0.0,261324842.2,-16.0,4.0,43726786.53999999,53.463056,-2.291389
146,West Ham United FC,2021/2022,16,14,8,60,33,27,51,26,25,9,56,7,68348623.853211,0.0,81571428.44,-9.0,1.0,6781869.00999999,51.531944,0.039444
147,Leicester City FC,2021/2022,14,14,10,62,34,28,59,23,36,3,52,8,62018348.62385321,0.0,81367922.94,-14.0,3.0,-5853558.189999998,52.620278,-1.142222
148,Brighton & Hove Albion FC,2021/2022,12,11,15,42,19,23,44,23,21,-2,51,9,52293577.98165137,15126050.420168068,50842643.12,10.0,-7.0,-7186768.200000003,50.861822,-0.083278
149,Wolverhampton Wanderers FC,2021/2022,15,17,6,38,20,18,43,25,18,-5,51,10,29633027.522935778,4453781.512605042,62658879.82,6.0,-2.0,4702711.8999999985,52.590278,-2.130278
150,Newcastle United FC,2021/2022,13,15,10,44,26,18,62,27,35,-18,49,11,26972477.064220183,84957983.19327731,75022166.97,4.0,-2.0,10279404.71,54.975556,-1.621667
151,Crystal Palace FC,2021/2022,11,12,15,50,27,23,46,17,29,4,48,12,67376146.78899083,10235294.11764706,79814306.42,4.0,-2.0,-20017984.14999999,51.398333,-0.085556
152,Brentford FC,2021/2022,13,18,7,48,22,26,56,21,35,-8,46,13,35045871.559633024,0.0,23118247.71,,,,51.490715,-0.289048
153,Aston Villa FC,2021/2022,13,19,6,52,29,23,54,29,25,-2,45,14,91559633.02752294,25210084.033613447,78216926.61,-10.0,3.0,8335983.209999993,52.509167,-1.884722
154,Southampton FC,2021/2022,9,16,13,43,23,20,67,24,43,-24,40,15,58165137.6146789,0.0,57527569.72,-3.0,0.0,-6807919.8999999985,50.905833,-1.391111
155,Everton FC,2021/2022,11,21,6,43,27,16,66,25,41,-23,39,16,1834862.3853211007,31512605.042016808,101420514.68,-20.0,6.0,-2167229.6599999964,53.438889,-2.966389
156,Leeds United,2021/2022,9,18,11,42,19,23,79,38,41,-37,38,17,0.0,0.0,26050427.52,-21.0,8.0,-1160747.0100000016,53.777778,-1.572222
157,Burnley FC,2021/2022,7,17,14,34,18,16,53,25,28,-19,35,18,29266055.045871556,14705882.352941178,43238677.06,-4.0,1.0,1891557.25,53.789167,-2.230278
158,Watford FC,2021/2022,6,27,5,34,17,17,77,46,31,-43,23,19,17247706.42201835,20756302.521008406,45273693.58,,,,51.649836,-0.401486
159,Norwich City FC,2021/2022,5,26,7,23,12,11,84,43,41,-61,22,20,58302752.29357798,0.0,34267091.74,,,,52.622128,1.308653
160,Manchester City FC,2022/2023,28,5,5,94,60,34,33,17,16,61,89,1,121008403.36134455,8661417.322834646,190218626.05,-4.0,0.0,24406180.180000007,53.482989,-2.200292
161,Arsenal FC,2022/2023,26,6,6,88,53,35,43,25,18,45,84,2,110588235.29411766,43149606.2992126,99299710.08,15.0,-3.0,-25832055.060000002,51.555,-0.108611
162,Manchester United FC,2022/2023,23,9,6,58,36,22,43,10,33,15,75,3,201949579.83193278,2330708.6614173227,223208481.51,17.0,-3.0,-38116360.69,53.463056,-2.291389
163,Newcastle United FC,2022/2023,19,5,14,68,36,32,33,14,19,35,71,4,114285714.28571428,38582677.165354334,80912757.14,22.0,-7.0,5890590.170000002,54.975556,-1.621667
164,Liverpool FC,2022/2023,19,9,10,75,46,29,47,17,30,28,67,5,87226890.75630252,33070866.141732283,158219230.25,-25.0,3.0,218631.1699999869,53.430819,-2.960828
165,Brighton & Hove Albion FC,2022/2023,18,12,8,72,37,35,53,21,32,19,62,6,38403361.34453782,7874015.748031496,37485008.4,11.0,-3.0,-13357634.719999999,50.861822,-0.083278
166,Aston Villa FC,2022/2023,18,13,7,51,33,18,46,21,25,5,61,7,58823529.41176471,33858267.716535434,98283856.3,16.0,-7.0,20066929.689999998,52.509167,-1.884722
167,Tottenham Hotspur FC,2022/2023,18,14,6,70,37,33,63,25,38,7,60,8,144453781.51260504,6299212.5984251965,106791633.61,-11.0,4.0,-13766808.590000004,51.603333,-0.065833
168,Brentford FC,2022/2023,15,9,14,58,35,23,46,18,28,12,59,9,40546218.48739496,787401.5748031496,31389887.39,13.0,-4.0,8271639.68,51.490715,-0.289048
169,Fulham FC,2022/2023,15,16,7,55,31,24,53,29,24,2,52,10,55714285.71428572,7716535.433070866,53078362.18,,,,51.475,-0.221667
170,Crystal Palace FC,2022/2023,11,15,12,40,21,19,49,23,26,-9,45,11,29075630.25210084,9448818.897637796,65268610.08,-3.0,-1.0,-14545696.340000004,51.398333,-0.085556
171,Chelsea FC,2022/2023,11,16,11,38,20,18,47,19,28,-9,44,12,252731092.4369748,259448818.89763778,185647283.19,-30.0,9.0,-6793273.689999998,51.481667,-0.191111
172,Wolverhampton Wanderers FC,2022/2023,11,19,8,31,19,12,58,20,38,-27,41,13,118487394.9579832,30320472.44094488,50970466.39,-10.0,3.0,-11688413.43,52.590278,-2.130278
173,West Ham United FC,2022/2023,11,20,7,42,26,16,55,24,31,-13,40,14,155126050.42016807,9448818.897637796,80506417.65,-16.0,7.0,-1065010.7899999917,51.531944,0.039444
174,AFC Bournemouth,2022/2023,11,21,6,37,20,17,71,28,43,-34,39,15,22605042.016806725,44251968.503937006,37535800.0,,,,50.735278,-1.838333
175,Nottingham Forest FC,2022/2023,9,18,11,38,27,11,68,24,44,-30,38,16,138697478.99159664,26220472.44094488,52189492.44,,,,52.94,-1.132778
176,Everton FC,2022/2023,8,18,12,34,16,18,57,27,30,-23,36,17,69806722.68907563,0.0,82842879.83,-3.0,1.0,-18577634.85000001,53.438889,-2.966389
177,Leicester City FC,2022/2023,9,22,7,51,23,28,68,27,41,-17,34,18,14285714.285714285,25196850.393700786,76950927.73,-18.0,10.0,-4416995.209999993,52.620278,-1.142222
178,Leeds United,2022/2023,7,21,10,48,26,22,78,37,41,-30,31,19,0.0,0.0,48227662.18,-7.0,2.0,22177234.66,53.777778,-1.572222
179,Southampton FC,2022/2023,6,25,7,36,19,17,73,37,36,-37,25,20,75512605.0420168,49803149.606299214,48405437.82,-15.0,5.0,-9122131.899999999,50.905833,-1.391111
180,Manchester City FC,2023/2024,28,3,7,96,51,45,34,16,18,62,91,1,189842519.68503937,14230769.23076923,187369152.76,2.0,0.0,-2849473.2900000215,53.482989,-2.200292
181,Arsenal FC,2023/2024,28,5,5,91,48,43,29,16,13,62,89,2,185118110.23622048,0.0,154751608.66,5.0,0.0,55451898.58,51.555,-0.108611
182,Liverpool FC,2023/2024,24,4,10,86,49,37,41,17,24,45,82,3,135433070.86614174,0.0,126980648.03,15.0,-2.0,-31238582.22,53.430819,-2.960828
183,Aston Villa FC,2023/2024,20,10,8,76,48,28,61,28,33,15,68,4,73228346.45669292,14230769.23076923,109188072.44,7.0,-3.0,10904216.14,52.509167,-1.884722
184,Tottenham Hotspur FC,2023/2024,20,12,6,74,38,36,61,27,34,13,66,5,194566929.13385826,19230769.230769232,109532926.77,6.0,-3.0,2741293.1599999964,51.603333,-0.065833
185,Chelsea FC,2023/2024,18,11,9,77,44,33,63,26,37,14,63,6,365433070.86614174,0.0,146367007.09,19.0,-6.0,-39280276.099999994,51.481667,-0.191111
186,Newcastle United FC,2023/2024,18,14,6,85,49,36,62,22,40,23,60,7,116614173.22834645,0.0,78757081.89,-11.0,3.0,-2155675.25,54.975556,-1.621667
187,Manchester United FC,2023/2024,18,14,6,57,31,26,58,28,30,-1,60,8,160078740.1574803,0.0,191772093.7,-15.0,5.0,-31436387.810000002,53.463056,-2.291389
188,West Ham United FC,2023/2024,14,14,10,60,31,29,74,28,46,-14,52,9,108314960.62992126,5384615.384615384,88837987.4,12.0,-5.0,8331569.75,51.531944,0.039444
189,Crystal Palace FC,2023/2024,13,15,10,57,37,20,58,26,32,-1,49,10,30472440.94488189,22384615.384615384,64357118.11,4.0,-1.0,-911491.9699999988,51.398333,-0.085556
190,AFC Bournemouth,2023/2024,13,16,9,54,27,27,67,28,39,-13,48,12,100228346.45669292,0.0,51107287.4,9.0,-3.0,13571487.399999999,50.735278,-1.838333
191,Everton FC,2023/2024,13,16,9,40,22,18,51,18,33,-11,48,13,31889763.77952756,0.0,73610377.95,12.0,-4.0,-9232501.879999995,53.438889,-2.966389
192,Brighton & Hove Albion FC,2023/2024,12,14,12,55,30,25,62,27,35,-7,48,11,76929133.85826771,7038461.538461538,58159074.8,-14.0,5.0,20674066.4,50.861822,-0.083278
193,Fulham FC,2023/2024,13,17,8,55,31,24,61,24,37,-6,47,14,53913385.826771654,3615384.6153846155,62157511.81,-5.0,4.0,9079149.630000003,51.475,-0.221667
194,Wolverhampton Wanderers FC,2023/2024,13,18,7,50,26,24,65,30,35,-15,46,15,74015748.03149606,0.0,50162201.57,5.0,2.0,-808264.8200000003,52.590278,-2.130278
195,Brentford FC,2023/2024,10,19,9,56,29,27,65,34,31,-9,39,16,51062992.12598425,5769230.769230769,37221809.45,-20.0,7.0,5831922.060000002,51.490715,-0.289048
196,Nottingham Forest FC,2023/2024,9,20,9,49,27,22,67,30,37,-18,36,17,93464566.92913386,6923076.923076923,67153229.13,-2.0,1.0,14963736.689999998,52.94,-1.132778
197,Luton Town FC,2023/2024,6,24,8,52,28,24,85,37,48,-33,26,18,17913385.826771654,2423076.923076923,22900137.01,,,,51.884167,-0.431667
198,Burnley FC,2023/2024,5,24,9,41,19,22,78,43,35,-37,24,19,87440944.88188976,0.0,35888996.85,,,,53.789167,-2.230278
199,Sheffield United FC,2023/2024,3,28,7,35,19,16,104,57,47,-69,16,20,50748031.496062994,1923076.923076923,26801641.73,,,,53.370278,-1.470833
